,source,band,zbound,zvalue
415,../1024/data/frame_00852,B6,zmax,338.3979764600395
416,../1024/data/frame_00852,B7,zmin,-0.001777192182467557
417,../1024/data/frame_00852,B7,zmax,0.21156782702879015
418,../1024/data/frame_00852,B8,zmin,-0.018557119982531088
419,../1024/data/frame_00852,B8,zmax,0.051349881119950855
420,../1024/data/frame_00853,B3,zmin,11.17249870300293
421,../1024/data/frame_00853,B3,zmax,108.0230547099995
422,../1024/data/frame_00853,B4,zmin,37.73180389404297
423,../1024/data/frame_00853,B4,zmax,291.8193116105782
424,../1024/data/frame_00853,B5,zmin,987.7084776720661
425,../1024/data/frame_00853,B5,zmax,3764.230828984163
426,../1024/data/frame_00853,B6,zmin,22.2786961299504
427,../1024/data/frame_00853,B6,zmax,169.51700047628026
428,../1024/data/frame_00853,B7,zmin,0.005209400024167469
429,../1024/data/frame_00853,B7,zmax,0.06432400736834114
430,../1024/data/frame_00853,B8,zmin,-0.008320656482013081
431,../1024/data/frame_00853,B8,zmax,0.0365199541733278
432,../1024/data/frame_00855,B3,zmin,10.896771430969238
433,../1024/data/frame_00855,B3,zmax,104.69407395826421
434,../1024/data/frame_00855,B4,zmin,39.5164680480957
435,../1024/data/frame_00855,B4,zmax,232.16082302139804
436,../1024/data/frame_00855,B5,zmin,988.298091910292
437,../1024/data/frame_00855,B5,zmax,2861.9782416419603
438,../1024/data/frame_00855,B6,zmin,21.65988730683012
439,../1024/data/frame_00855,B6,zmax,142.44899687288984
440,../1024/data/frame_00855,B7,zmin,0.005201502778927501
441,../1024/data/frame_00855,B7,zmax,0.1021937725588541
442,../1024/data/frame_00855,B8,zmin,-0.013491988975830291
443,../1024/data/frame_00855,B8,zmax,0.035296687058848746
444,../1024/data/frame_00856,B3,zmin,12.355045318603516
445,../1024/data/frame_00856,B3,zmax,98.61113108257582
446,../1024/data/frame_00856,B4,zmin,50.30550765991211
447,../1024/data/frame_00856,B4,zmax,236.6536429429372
448,../1024/data/frame_00856,B5,zmin,1171.8111395834537
449,../1024/data/frame_00856,B5,zmax,3158.418144832539
450,../1024/data/frame_00856,B6,zmin,30.218297884573087
451,../1024/data/frame_00856,B6,zmax,139.58017982688472
452,../1024/data/frame_00856,B7,zmin,0.008162164249566029
453,../1024/data/frame_00856,B7,zmax,0.1246738429628837
454,../1024/data/frame_00856,B8,zmin,-0.006142611838634412
455,../1024/data/frame_00856,B8,zmax,0.035493446260722865
456,../1024/data/frame_00857,B3,zmin,7.550497055053711
457,../1024/data/frame_00857,B3,zmax,121.92829068414795
458,../1024/data/frame_00857,B4,zmin,25.712120056152344
459,../1024/data/frame_00857,B4,zmax,202.91717529296875
460,../1024/data/frame_00857,B5,zmin,813.1864732732975
461,../1024/data/frame_00857,B5,zmax,3937.6558037909344
462,../1024/data/frame_00857,B6,zmin,17.776694763373747
463,../1024/data/frame_00857,B6,zmax,331.52885159230846
464,../1024/data/frame_00857,B7,zmin,-0.0010575379717721438
465,../1024/data/frame_00857,B7,zmax,0.20454274424747884
466,../1024/data/frame_00857,B8,zmin,-0.019085339611763293
467,../1024/data/frame_00857,B8,zmax,0.05119645932823302
468,../1024/data/frame_00860,B3,zmin,8.260634422302246
469,../1024/data/frame_00860,B3,zmax,125.24750103970904
470,../1024/data/frame_00860,B4,zmin,32.578369140625
